alkoholsüchtig,uzależniony od alkoholu
arbeitslos,bezrobotny
die Arbeitslosigkeit,bezrobocie
arm,biedny
die Armut,bieda
behindert,niepełnosprawny
die Behinderung,niepełnosprawność
die Diskriminierung,dyskryminacja
drogensüchtig,uzależniony od narkotyków
das Engagement,zaangażowanie
die Gewalt,przemoc
die Hilfe,pomoc
die Kriminalität,przestępczość
obdachlos,bezdomny
die Obdachlosigkeit,bezdomność
sich engagieren für,angażować się w
die Aktion, akcja
ein Konzert organisieren, organizowac koncert
bekannte Personen einladen, zapraszac znane osoby
eine Auktion machen, przeprowadzac aukcje
der Beitritt, przystapienie
Plakate aufhangen, rozwieszac plakaty
eine Radiosendung machen, tworzyc reklame radiowa
sich engagieren fur, angazowac sie w
Sponsoren finden, znajdowac sponsorow
unterstutzen, wspierac
die Abgase, spaliny
Altpapier sammeln, zbierac makulature
Baume pflanzen, sadzic drzewa
den Mull sortieren, sortowac smieci
die Umwelt schutzen, chronic srodowisko naturalne
die Umwelt zerstoren, niszczyc srodowisko naturalne
das Gift, trucizna
die Luftverschmutzung, zanieczyszczenie powietrza
Mehrwegflaschen benutzen, uzywac butelek zwrotnych
der Mull, smieci
die Naturkatastrophe, kleska zywiolowa
recyceln, utylizowac smieci
sich einsetzen fur, angazowac sie w
der Umweltschutz, ochrona srodowiska naturalnego
Wasser sparen, oszczedzac wode
die Wasserverschmutzung, zanieczyszczenie wody
der Autofahrer, kierowca
benutzen, korzystac z
einen Kompromiss finden, znalezc kompromis
Flyer verteilen, rozdawac ulotki
der Fussganger, przechodzien
Plakate aushangen, rozwieszac plakaty
protestieren, protestowac
storen, przeszkadzac
Strassen blockieren, blokowac ulice
der Strassenlarm, halas uliczny
der Strassenverkehr, ruch uliczny
verbieten, zabraniac
das Verkehrsmittel, srodek komunikacji
verursachen, powodowac
zuruckweisen, rezygnowac z
der Werbeslogan, slogan reklamowy
andern, zmieniac
die Demonstration, demonstracja
eine Demo organisieren, organizowac demonstracje
die Kundgebung, manifestacja
mitarbeiten, brac udzial w
das Parlament, parlament
die Partei, partia
die Politiker, politycy
der Protest, protest
die Protestaktion, akcja protestacyjna
der Schweigemarsch, marsz milczenia
der Solidaritatsstreik, strajk solidarnosciowy
teilnehmen an, brac udzial w
die Unterschriftensammlung, akcja zbierania podpisow
wahlen, wybierac
die Wahl, wybory
der Wahler, wyborca
auf etwas aufmerksam machen, zwracac na cos uwage
der Dialog, dialog
das Engagement, zaangazowanie
Erfolge erzielen, osiagnac sukcesy
die Gesellschaft, spoleczenstwo
der Konflikt, konflikt
losen, rozwiazywac
die Losung, rozwiazanie
das Mitglied, czlonek
die Protestbewegung, ruch protestacyjny
die Regierung, rzad
die Sozialpolitik, polityka spoleczna
Alle profitieren davon, Wszyscy z tego korzystają
Wir haben Verständnis für Umweltschutz, Rozumiemy potrzebę ochrony środowiska naturalnego
Die Aktion zwingt zum Nachdenken, Ta akcja zmusza nas do myślenia
Wir gewinnen die Aufmerksamkeit, Zwraca się na nas uwagę
Das macht auf Probleme aufmerksam, To zwraca uwagę na problemy
Wir können das Leben in unserem Wohnort aktiv gestalten, Możemy aktywnie wpływać na nasze życie w miejscu zamieszkania
Viele leiden unter Hunger und wir können ihnen helfen, Wielu cierpi z powodu głodu a my możemy im pomóc
Ich mache nicht mit, Nie biorę udziału
Ich helfe lieber direkt, Wolę pomagać bezpośrednio
Das ist nur Geldverschwendung, To tylko marnowanie pieniędzy
Die Hilfe erreicht nur selten die Hilfsbedürftigen, Pomoc rzadko dociera do potrzebujących
Es gibt viele Menschen in Not. Allen kann man nicht helfen, Jest wielu ludzi w potrzebie. Wszystkim nie można pomóc
Das bringt nichts. So kann man niemandem helfen, To nie pomoże. Tak nie można pomóc nikomu
Solche Aktionen machen keinen Sinn, Takie akcje nie mają sensu
Das hat keinen unmittelbaren Einfluss auf die Situation, To nie ma bezpośredniego wpływu na sytuację
Es gibt doch genug Hilfsorganisationen, Istnieje przecież wystarczająco dużo organizacji charytatywnych
Das betrifft mich nicht, To mnie nie dotyczy
Ich bin mir nicht sicher, ob das hilft Nie jestem pewien/pewna czy to pomoże
Wir können doch nichts gegen Naturkatastrophen tun, Nic nie możemy zrobić aby zapobiec klęskom żywiołowym
Wann und wo wird die Aktion durchgeführt, Kiedy i gdzie jest przeprowadzana akcja
Auf welche Kontonummer kann man Geld einzahlen, Na który numer konta można wpłacać pieniądze
Kann man mitmachen, Czy można dołączyć do akcji
Wie wird für die Aktion geworben, Jak jest reklamowana ta akcja
Wo werden Flugblätter verteilt, Gdzie są rozdawane ulotki
Wie können wir unsere Umwelt schützen, Jak możemy chronić nasze środowisko naturalne
Was kann man gegen Luftverschmutzung unternehmen, Co można zrobić z zanieczyszczeniem powietrza
Wie kann man die Menschen für die Idee gewinnen, Jak można przekonać ludzi do tego pomysłu
Ich engagiere mich für sozial Schwache und gegen Armut, Angażuję się dla ludzi w niekorzystnej sytuacji społecznej i walczę z biedą
Wir engagieren uns ehrenamtlich, Angażujemy się społecznie
Er arbeitet aus eigenem Willen, On pracuje z własnej woli
Er meldet sich freiwillig, On zgłasza się na ochotnika
Viele Menschen sind in Not, Wielu ludzi jest w potrzebie
Behinderte brauchen unsere Hilfe, Niepełnosprawni potrzebują naszej pomocy
Die Hilfsorganisationen tragen zu der Kriminalitätsminderung bei, Organizacje charytatywne przyczyniają się do zmniejszenia przestępczości
Gewaltopfer werden unterstützt, Wspiera się ofiary przemocy
Gegen Süchte wird gekämpft, Zwalcza się uzależnienia
Hilfe brauchen auch herrenlose Tiere, Pomocy potrzebują także bezpańskie zwierzęta
Dank der Spendaktionen wird den Obdachlosen und Arbeitslosen geholfen, Dzięki akcjom zbiórki pieniędzy pomaga się bezdomnym i bezrobotnym
Wir haben das Ziel der Aktion angegeben und erklärt, Podaliśmy i wyjaśniliśmy cel akcji
Wir haben den Aktionsverlauf geplant, Zaplanowaliśmy przebieg akcji
Wir haben um Hilfe und Unterstützung gebeten, Poprosiliśmy o pomoc i wsparcie
Wir haben Plakate vorbereitet und ausgehängt, Przygotowaliśmy i rozwiesiliśmy plakaty
Wir haben Flugblätter verteilt, Rozdaliśmy ulotki
Wir haben mit Vertretern der Stadtbehörden gesprochen, Rozmawialiśmy z przedstawicielami władz miasta
Eine Sammelaktion wurde organisiert, Została zorganizowana zbiórka
Geld wurde gesammelt, Pieniądze zostały zebrane
Geld wurde auf das Konto eingezahlt, Pieniądze zostały wpłacone na konto
Die Sponsoren haben die Aktion unterstützt, Sponsorzy wsparli akcję
Die Vorbereitungen sind gut gelaufen, Przygotowania poszły dobrze
Viele haben Interesse an der Hilfe, Wielu jest zainteresowanych pomocą
Die Aktion war erfolgreich, Akcja była skuteczna