smazyc,braten briet gebraten
lamac,brechen brach gebrochen
przynosic,bringen brachte gebracht
jesc,essen as gegessen
jechac,fahren fuhr gefahren
upadac,fallen fiel gefallen
chwytac,fangen find gefangen
latac,fliegen flog geflogen
uciekac,fliehen floh geflohen
urodzic sie,gebaren gebar geboren
dawac,geben gab gegeben
isc,gehen ging gegangen
udac sie,gelingen gelang gelungen
wygrywac,gewinnen gewann gewonnen
podlewac,giesen goss gegossen
siegac,griefen griff gegriffen
miec,haben hatte gehabt
nazywac sie,heisen hies geheisen
pomagac,helfen half geholfen
znac,kennen kannte gekannt
pochodzic,kommen kam gekommen
podnosic,heben hob gehoben
moc,konnen kann gekonnt
ladowac,laden lud geladen
zostawiac,lassen lies gelassen
biegac,laufen lief gelaufen
lezec,liegen lag gelegen
klamac,lugen log gelogen
unikac,meiden mied gemieden
lubic,mogen mochte gemocht